,Geohash,building_count,total_road_length,lat,lon,elevation,slope,NDVI,Cell_ID,Site_latitude,Site_longitude,EARFCN_DL,population_density,RSRP,RSRQ,antenna_height,azimuth,tilt
13,tc1sfqy,0.0,0,6.497726440429688,80.96717834472656,126.66586,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,8.414600372314453,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
14,tc1sfqz,0.0,0,6.497726440429688,80.96855163574219,127.01905,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,8.414600372314453,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
15,tc1sfr2,0.0,0,6.5004730224609375,80.95893859863281,109.624756,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,11.033854484558104,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
16,tc1sfr3,0.0,0,6.5004730224609375,80.96031188964844,112.39127,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,11.033854484558104,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
17,tc1sfr4,0.0,0,6.4990997314453125,80.96168518066406,112.44698,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,9.023484230041506,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
18,tc1sfr5,0.0,0,6.4990997314453125,80.96305847167969,111.945335,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,9.023484230041506,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
19,tc1sfr6,0.0,0,6.5004730224609375,80.96168518066406,115.79641,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,11.033854484558104,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
20,tc1sfr7,0.0,0,6.5004730224609375,80.96305847167969,114.09803,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,11.033854484558104,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
21,tc1sfr8,0.0,0,6.5018463134765625,80.95893859863281,107.99094,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,11.033854484558104,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
22,tc1sfr9,0.0,0,6.5018463134765625,80.96031188964844,109.841995,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,11.033854484558104,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
23,tc1sfrb,0.0,0,6.503219604492188,80.95893859863281,108.801056,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,11.033854484558104,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
24,tc1sfrc,0.0,0,6.503219604492188,80.96031188964844,108.77886,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,11.033854484558104,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
25,tc1sfrd,0.0,0,6.5018463134765625,80.96168518066406,113.63205,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,11.033854484558104,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
26,tc1sfre,0.0,0,6.5018463134765625,80.96305847167969,114.83345,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,11.033854484558104,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
27,tc1sfrf,0.0,0,6.503219604492188,80.96168518066406,109.556946,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,11.033854484558104,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
28,tc1sfrg,0.0,0,6.503219604492188,80.96305847167969,112.28236,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,11.033854484558104,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
29,tc1sfrh,0.0,0,6.4990997314453125,80.96443176269531,112.46619,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,9.023484230041506,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
30,tc1sfrj,0.0,0,6.4990997314453125,80.96580505371094,116.93538,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,8.414600372314453,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
31,tc1sfrk,0.0,0,6.5004730224609375,80.96443176269531,113.684814,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,11.033854484558104,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
32,tc1sfrm,0.0,0,6.5004730224609375,80.96580505371094,114.433266,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,11.932527542114256,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
33,tc1sfrn,0.0,0,6.4990997314453125,80.96717834472656,119.08437,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,8.414600372314453,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
34,tc1sfrp,0.0,0,6.4990997314453125,80.96855163574219,119.74745,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,8.414600372314453,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
35,tc1sfrq,0.0,0,6.5004730224609375,80.96717834472656,118.55427,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,11.932527542114256,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
36,tc1sfrr,0.0,0,6.5004730224609375,80.96855163574219,122.154976,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,11.932527542114256,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
37,tc1sfrs,0.0,0,6.5018463134765625,80.96443176269531,116.23655,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,11.033854484558104,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
38,tc1sfrt,0.0,0,6.5018463134765625,80.96580505371094,116.99549,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,11.932527542114256,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
39,tc1sfru,0.0,0,6.503219604492188,80.96443176269531,116.20022,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,11.033854484558104,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
40,tc1sfrv,0.0,0,6.503219604492188,80.96580505371094,120.38393,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,11.932527542114256,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
41,tc1sfrw,0.0,0,6.5018463134765625,80.96717834472656,118.377426,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,11.932527542114256,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
42,tc1sfrx,0.0,0,6.5018463134765625,80.96855163574219,120.511826,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,11.932527542114256,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
43,tc1sfry,0.0,0,6.503219604492188,80.96717834472656,121.29571,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,11.932527542114256,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
44,tc1sfrz,0.0,0,6.503219604492188,80.96855163574219,120.11126,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,11.932527542114256,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
45,tc1sftg,0.0,0,6.492233276367188,80.97404479980469,126.13784,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,7.900449275970459,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
46,tc1sftr,0.0,0,6.4894866943359375,80.97953796386719,115.61231,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,10.657715797424316,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
47,tc1sftt,0.0,0,6.4908599853515625,80.97679138183594,125.00165,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,10.657715797424316,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
48,tc1sftu,0.0,0,6.492233276367188,80.97541809082031,122.941734,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,7.900449275970459,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
49,tc1sftv,0.0,0,6.492233276367188,80.97679138183594,119.15725,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,7.900449275970459,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
50,tc1sftw,0.0,0,6.4908599853515625,80.97816467285156,121.76574,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,10.657715797424316,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
51,tc1sftx,0.0,0,6.4908599853515625,80.97953796386719,117.11521,0.0,1.0,Cell_144,6.471792479537491,81.04327301184854,525,10.657715797424316,0.0,0.0,20.13808994388543,166.16653673162205,4.670991281174986
