,EARFCN_DL,antenna_height,azimuth,tilt,Site_latitude,Site_longitude,building_count,total_road_length,elevation,NDVI,population_density,Geohash,RSRP,RSRQ,Cell_ID
34,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,119.74745,1.0,8.4146,tc1sfrp,-15.792924,-3.462174,Cell_144
35,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,118.55427,1.0,11.932529,tc1sfrq,-15.7909,-3.462051,Cell_144
36,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,122.154976,1.0,11.932529,tc1sfrr,-15.78985,-3.4618454,Cell_144
37,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,116.23655,1.0,11.033852,tc1sfrs,-15.787994,-3.462003,Cell_144
38,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,116.99549,1.0,11.932529,tc1sfrt,-15.786749,-3.4619098,Cell_144
39,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,116.20022,1.0,11.033852,tc1sfru,-15.7856,-3.4619114,Cell_144
40,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,120.38393,1.0,11.932529,tc1sfrv,-15.78483,-3.4617357,Cell_144
41,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,118.377426,1.0,11.932529,tc1sfrw,-15.783622,-3.4617803,Cell_144
42,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,120.511826,1.0,11.932529,tc1sfrx,-15.782858,-3.4617052,Cell_144
43,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,121.29571,1.0,11.932529,tc1sfry,-15.782022,-3.461679,Cell_144
44,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,120.11126,1.0,11.932529,tc1sfrz,-15.781068,-3.4617171,Cell_144
45,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,126.13784,1.0,7.9004483,tc1sftg,-15.78108,-3.4616175,Cell_144
46,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,115.61231,1.0,10.657719,tc1sftr,-15.779229,-3.46188,Cell_144
47,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,125.00165,1.0,10.657719,tc1sftt,-15.779265,-3.4616416,Cell_144
48,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,122.941734,1.0,7.9004483,tc1sftu,-15.778609,-3.4617558,Cell_144
49,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,119.15725,1.0,7.9004483,tc1sftv,-15.777658,-3.4618766,Cell_144
50,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,121.76574,1.0,10.657719,tc1sftw,-15.77704,-3.4617963,Cell_144
51,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,117.11521,1.0,10.657719,tc1sftx,-15.77611,-3.4619377,Cell_144
52,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,115.67641,1.0,7.9004483,tc1sfty,-15.775632,-3.4620364,Cell_144
53,525.0,20.13809,166.16653,4.6709914,6.4717927,81.043274,8.61805e-09,8.042382e-07,117.10878,1.0,7.9004483,tc1sftz,-15.775205,-3.462029,Cell_144
