Cell_ID,Cell Name,RSRP,RSRQ,Geohash,EARFCN_DL,Latitude_of_MDT,Longitude_of_MDT,MR_Count,Site ID,Site Name (from MAIN DATA),Cell ID,Antenna Height,Azimuth,E Tilt,M Tilt,Tilt,Latitude_of_Site,Longitude_of_Site,MDT height from MSL,Site height from MSL,Height Difference,Horizontal Distance,Angle_from_North,Azimuth_to_nearest_5_degrees,Reduced_Amount,Normalized_Azimuth,Latitude_Difference,Longitude_Difference,name,name:en,highway,surface,smoothness,width,lanes,oneway,bridge,layer,source,name:si,name:ta,osm_id,osm_type,Road_Coverage,Population_Density,NDVI,Building_Density
5474052,Hattota_Amuna-MT0084-B_A,-110.31,-10.92,tc37r31q,3750,7.60915,80.828281,95,MT0084,Hattota_Amuna,L9_1,37,75,3,0,3,7.6077,80.820633,151,216,65,0.858213233,79.17097946,75,0,75,0.00145,0.007648,,,residential,,,,,,,,,,,516346533,ways_line,1,260.9494629,0.059998475,4
5895209,Bakamuna-PO0011-B_B,-56,-6.5,tc3kp2zz,3750,7.739731,80.837346,1,PO0011,Bakamuna,L9_2,50,125,2,0,2,7.772113,80.81818,105,155,50,4.174239486,149.6088927,125,90,35,-0.032382,0.019166,Dambulla-Bakamuna-Kalagahawela Road,,secondary,,,,,,,,,,,520867805,ways_line,1,300.1559143,0,2
6377984,Manic_Farm_South-VA0017-H_A,-99,-12.81,tc91d89u,1650,8.704703,80.268795,305,VA0017,Manic_Farm_South,L18_1,40,310,2,0,2,8.69824,80.262571,55,53,2,0.992204763,43.58897409,310,270,40,0.006463,0.006224,,,residential,,,,,,,,,,,198376259,ways_line,1,500.7585449,0.740016758,27
5227816,Dahayyagama_Jn-AN0015-B_A,0,0,tc3pmnwx,3750,8.342636,80.385188,0,AN0015,Dahayyagama_Jn,L9_1,20,0,2,2,4,8.317338,80.397606,101,94,7,3.127245291,334.0955066,0,0,0,0.025298,-0.012418,,,residential,compacted,intermediate,,,,,,,,,552034524,ways_line,1,419.1862488,0.310002297,11
5227816,Dahayyagama_Jn-AN0015-B_A,0,0,tc3pmnwx,3750,8.342636,80.385188,0,AN0015,Dahayyagama_Jn,L9_1,20,0,2,2,4,8.317338,80.397606,101,94,7,3.127245291,334.0955066,0,0,0,0.025298,-0.012418,Old Puttalam Road,,secondary,asphalt,,,,,,,,,,44677691,ways_line,1,419.1862488,0.310002297,11
5869610,Galkulama-AN0023-B_C,-96.71,-9.71,tc3ppsec,3750,8.286698,80.491247,7,AN0023,Galkulama,L9_3,70,265,2,1,3,8.278908,80.5007,113,116,3,1.353607372,309.7869785,265,180,85,0.00779,-0.009453,,,,,,,,,,,,,,,,0,209.6875153,0,10
5371649,Bandaragama-KL0002-H_A,-93,-13,tc0yhr02,1650,6.718283,79.991952,2,KL0002,Bandaragama,L18_1,60,70,4,0,4,6.714293,79.987705,12,22,10,0.645605045,46.58990671,70,0,70,0.00399,0.004247,,,service,asphalt,,,,,,,,,,552222662,ways_line,1,2310.177246,0.130006865,22
5371649,Bandaragama-KL0002-H_A,-93,-13,tc0yhr02,1650,6.718283,79.991952,2,KL0002,Bandaragama,L18_1,60,70,4,0,4,6.714293,79.987705,12,22,10,0.645605045,46.58990671,70,0,70,0.00399,0.004247,,,residential,,,,,,,,,,,552222656,ways_line,1,2310.177246,0.130006865,22
5379594,Darga_Town-KL0128-H_4B,-90,-9,tc0ussuq,1650,6.44327,80.00845,2,KL0128,Darga_Town,L18_2222,40,110,6,0,6,6.445661,80.007085,8,8,0,0.305667418,150.4343989,110,90,20,-0.002391,0.001365,Central Road,,residential,,,,,,,,,,,321777040,ways_line,1,5657.137207,0.190005347,51
5379594,Darga_Town-KL0128-H_4B,-90,-9,tc0ussuq,1650,6.44327,80.00845,2,KL0128,Darga_Town,L18_2222,40,110,6,0,6,6.445661,80.007085,8,8,0,0.305667418,150.4343989,110,90,20,-0.002391,0.001365,Zaviya Lane,,residential,,,,,,,,,,,128546258,ways_line,1,5657.137207,0.190005347,51
5458445,Welipenna-KL0030-H_4C,-116,-9,tc0uymwe,1650,6.490754,80.088584,1,KL0030,Welipenna,L18_3333,60,290,6,0,6,6.44968,80.110774,15,125,110,5.18366009,331.7741955,290,270,20,0.041074,-0.02219,,,residential,,,,,,,,,,,1163515326,ways_line,1,613.8587646,0,34
5458445,Welipenna-KL0030-H_4C,-116,-9,tc0uymwe,1650,6.490754,80.088584,1,KL0030,Welipenna,L18_3333,60,290,6,0,6,6.44968,80.110774,15,125,110,5.18366009,331.7741955,290,270,20,0.041074,-0.02219,,,tertiary,,,,,,,,,,,186259439,ways_line,1,613.8587646,0,34
5458445,Welipenna-KL0030-H_4C,-116,-9,tc0uymwe,1650,6.490754,80.088584,1,KL0030,Welipenna,L18_3333,60,290,6,0,6,6.44968,80.110774,15,125,110,5.18366009,331.7741955,290,270,20,0.041074,-0.02219,,,residential,,,,,,,,,,,1193971906,ways_line,1,613.8587646,0,34
6187522,Matara_Town_East_Lamp-MR5002-H_B,-88,-9,tc13c62d,1650,5.945406,80.563585,4,MR5002,Matara_Town_East_Lamp,L18_2,15,120,3,3,6,5.947821,80.561727,12,9,3,0.338137461,142.5760311,120,90,30,-0.002415,0.001858,Udapeekwella Road,,residential,,,,,,,,,,,170062613,ways_line,1,2942.731445,1,4
6187522,Matara_Town_East_Lamp-MR5002-H_B,-88,-9,tc13c62d,1650,5.945406,80.563585,4,MR5002,Matara_Town_East_Lamp,L18_2,15,120,3,3,6,5.947821,80.561727,12,9,3,0.338137461,142.5760311,120,90,30,-0.002415,0.001858,,,residential,,,,,,,,,,,170063845,ways_line,1,2942.731445,1,4
6607106,Thunkama-RA0051-H_B,-98.75,-11.25,tc1eb9sk,1650,6.293263,80.887384,5,RA0051,Thunkama,L18_2,60,150,3,0,3,6.292696,80.887294,66,66,0,0.063827407,8.965856087,150,90,60,0.000567,9.00E-05,,,residential,,,,,,,,,,,797770044,ways_line,1,968.4822998,1,8
6607106,Thunkama-RA0051-H_B,-98.75,-11.25,tc1eb9sk,1650,6.293263,80.887384,5,RA0051,Thunkama,L18_2,60,150,3,0,3,6.292696,80.887294,66,66,0,0.063827407,8.965856087,150,90,60,0.000567,9.00E-05,,,residential,,,,,,,,,,,797770043,ways_line,1,968.4822998,1,8
5453570,Molagoda-KE0017-H_B,-99.57,-10.71,tc31mbep,1650,7.254997,80.413108,11,KE0017,Molagoda,L18_2,70,120,4,0,4,7.259166,80.400277,134,151,17,1.489298311,108.1348822,120,90,30,-0.004169,0.012831,Colombo-Kandy Road,,trunk,,,,2,,,,,,,315858727,ways_line,1,929.2769165,0,1
6081281,Warakapola_South-KE0066-H_A,-105.5,-10.5,tc30cqsw,1650,7.199959,80.217487,10,KE0066,Warakapola_South,L18_1,50,130,2,0,2,7.197777,80.215555,82,96,14,0.322946761,41.29745647,130,90,40,0.002182,0.001932,,,unclassified,concrete,,,,,,,,,,876743897,ways_line,1,956.8239136,0,1
6081539,Kithulgala_South-KE0082-H_C,-106.25,-12.75,tc1pu3z4,1650,6.997432,80.352736,10,KE0082,Kithulgala_South,L18_3,45,125,5,0,5,6.987706,80.382996,67,343,276,3.510471151,287.9449885,125,90,35,0.009726,-0.03026,Avissawella - Hatton - Nuwara Eliya Road,,trunk,asphalt,,,,,,,,,,515714575,ways_line,1,463.6730042,0,5
6081539,Kithulgala_South-KE0082-H_C,-106.25,-12.75,tc1pu3z4,1650,6.997432,80.352736,10,KE0082,Kithulgala_South,L18_3,45,125,5,0,5,6.987706,80.382996,67,343,276,3.510471151,287.9449885,125,90,35,0.009726,-0.03026,,,residential,,,,,,,,,,,486678365,ways_line,1,463.6730042,0,5
6686470,Kegalle_South-KE0260-H_4C,-102.53,-10.13,tc31hx21,1650,7.247083,80.354186,35,KE0260,Kegalle_South,L18_3333,50,280,6,0,6,7.247737,80.351124,191,196,5,0.345498665,102.1504464,280,270,10,-0.000654,0.003062,,,living_street,,,,,,,,,,,550345043,ways_line,1,1213.099243,0.130006865,1
6686470,Kegalle_South-KE0260-H_4C,-102.53,-10.13,tc31hx21,1650,7.247083,80.354186,35,KE0260,Kegalle_South,L18_3333,50,280,6,0,6,7.247737,80.351124,191,196,5,0.345498665,102.1504464,280,270,10,-0.000654,0.003062,,,living_street,,,,,,,,,,,550345045,ways_line,1,1213.099243,0.130006865,1
5525280,Kapugoda-GM0114-H_4C,-97,-12,tc0zw292,1650,6.946171,80.081332,1,GM0114,Kapugoda,L18_3333,50,110,3,1,4,6.946944,80.093888,33,18,15,1.388577654,266.4518519,110,90,20,-0.000773,-0.012556,,,,,,,,,,,,,,,,0,1772.821899,0,8
5533471,Bulugahamulla-GM0274-H_4B,-76.59,-9.78,tc2bu00d,1650,7.163446,79.981256,29,GM0274,Bulugahamulla,L18_2222,50,160,3,0,3,7.166111,79.981111,18,24,6,0.296765968,176.9099261,160,90,70,-0.002665,0.000145,Marandagahamula-Gampaha Road,,tertiary,,,,,,,,,,,435267414,ways_line,1,1311.788452,0.059998475,11
5533471,Bulugahamulla-GM0274-H_4B,-76.59,-9.78,tc2bu00d,1650,7.163446,79.981256,29,GM0274,Bulugahamulla,L18_2222,50,160,3,0,3,7.166111,79.981111,18,24,6,0.296765968,176.9099261,160,90,70,-0.002665,0.000145,Katunayake-Veyangoda Road,,secondary,,,,,,,,,,,97789415,ways_line,1,1311.788452,0.059998475,11
5797378,Nugape_West-GM0513-H_C,-51.5,-5.5,tc2b15vw,1650,7.05301,79.856522,2,GM0513,Nugape_West,L18_3,40,10,3,1,4,7.046752,79.858405,12,6,6,0.72622157,343.3734388,10,0,10,0.006258,-0.001883,,,living_street,,,,,,,,,,,941512657,ways_line,1,1499.311401,0.130006865,25
5797378,Nugape_West-GM0513-H_C,-51.5,-5.5,tc2b15vw,1650,7.05301,79.856522,2,GM0513,Nugape_West,L18_3,40,10,3,1,4,7.046752,79.858405,12,6,6,0.72622157,343.3734388,10,0,10,0.006258,-0.001883,,,living_street,,,,,,,,,,,941512658,ways_line,1,1499.311401,0.130006865,25
6123264,Kandana_North_East-GM0875-H_A,-98.5,-13.5,tc2b4rpu,1650,7.070457,79.914538,6,GM0875,Kandana_North_East,L18_1,45,0,3,1,4,7.0582,79.908006,33,31,2,1.54178787,27.87281594,0,0,0,0.012257,0.006532,St Jude Mawatha,,residential,,,,,,,,,,,406542588,ways_line,1,2592.658203,0.440009147,27
